id,text,category,urgency,urgency_score,ward,status,duplicate_of
52.0,Road dug up for cable laying 2 months ago. Never repaired. Deep trenches causing vehicle damage.,Roads,HIGH,3.0,Indiranagar,Open,
53.0,Speed breaker on 4th Main is too steep. Vehicles get damaged and make loud noise disturbing residents at night.,Roads,MEDIUM,2.0,HSR Layout,Open,
54.0,Footpath on the main road is completely occupied by vendors and parked bikes. Pedestrians forced onto road.,Roads,MEDIUM,2.0,BTM Layout,Open,
55.0,Road marking completely faded on the main junction. Causing confusion and near-miss accidents.,Roads,MEDIUM,2.0,Whitefield,Open,
56.0,Storm water drain cover missing on 2nd Cross. Deep open pit is a danger to pedestrians.,Roads,HIGH,3.0,JP Nagar,Escalated,
57.0,Road caved in near the old water pipeline. Vehicle sank partially. Need immediate barricading.,Roads,HIGH,3.0,Rajajinagar,Escalated,
58.0,Newly laid road already has potholes after just one month. Poor quality construction work.,Roads,MEDIUM,2.0,Jayanagar,Open,
59.0,No street lights on the stretch between the two junctions. Road is completely dark after 8pm.,Roads,HIGH,3.0,Malleshwaram,Open,
60.0,Divider broken on the main arterial road. Vehicles crossing over illegally causing accidents.,Roads,HIGH,3.0,Electronic City,Open,
61.0,Road narrowing due to encroachment by shops. Traffic jam every evening. No action taken.,Roads,MEDIUM,2.0,Basavanagudi,Open,
62.0,Construction material dumped on road by builder. Only one lane available. Accidents likely.,Roads,HIGH,3.0,Yelahanka,Escalated,
63.0,Road near the lake flooded during every rain. Needs proper drainage and re-laying.,Roads,HIGH,3.0,Bellandur,Open,
64.0,Signboard fallen on the road after last night's storm. Blocking traffic and not yet removed.,Roads,HIGH,3.0,Banashankari,Escalated,
65.0,Road repair ongoing for 3 months without completion. One lane closed permanently.,Roads,MEDIUM,2.0,Vijayanagar,Open,
66.0,Multiple potholes filled with gravel instead of proper asphalt. They open up after every rain.,Roads,MEDIUM,2.0,Marathahalli,Open,
67.0,Footpath tiles broken and uneven near the bus stop. Old people and children fall regularly.,Roads,MEDIUM,2.0,Shivajinagar,Open,
68.0,Road waterlogged for 3 days after rain. Sewage overflowing onto road surface.,Roads,HIGH,3.0,Hennur,Open,
69.0,Median on our road has encroached onto the bike lane completely. Very dangerous for cyclists.,Roads,MEDIUM,2.0,Nagarbhavi,Open,
70.0,Speed breaker marking painted wrong direction. Vehicles confused. Near miss accident yesterday.,Roads,HIGH,3.0,Sadashivanagar,Open,
71.0,Road in our layout flooded every monsoon. No permanent solution provided despite many complaints.,Roads,HIGH,3.0,Kengeri,Open,
72.0,Three large potholes on school road. School buses avoiding it and taking longer routes.,Roads,HIGH,3.0,Peenya,Open,
73.0,Road divider tree fell on footpath. Not yet cleared. Blocking the footpath completely.,Roads,MEDIUM,2.0,Chickpet,Open,
74.0,Road near railway station never cleaned of debris and gravel from construction.,Roads,LOW,1.0,Hebbal,Open,
75.0,Temporary road patch from 6 months ago never replaced with proper asphalt.,Roads,MEDIUM,2.0,Bommanahalli,Open,
76.0,Power outage in our area for 14 hours. No prior notice given. BESCOM helpline not responding.,Electricity,HIGH,3.0,Koramangala,Escalated,
77.0,Transformer in our colony burnt out 3 days ago. Still no replacement. Medical equipment affected.,Electricity,HIGH,3.0,Indiranagar,Escalated,
78.0,Electric wire hanging low across the road near the park. Children play here. Extreme danger.,Electricity,HIGH,3.0,HSR Layout,Escalated,
79.0,Voltage fluctuation causing damage to appliances. Refrigerator and TV both burnt in last week.,Electricity,HIGH,3.0,BTM Layout,Open,
80.0,Street light on our road is on 24 hours continuously. Waste of electricity for over a month.,Electricity,LOW,1.0,Whitefield,Open,
81.0,Power cut every day from 6pm to 8pm during peak hours without any schedule shared.,Electricity,HIGH,3.0,JP Nagar,Open,
82.0,Electricity meter shows much higher reading than actual consumption. Suspect meter fault.,Electricity,MEDIUM,2.0,Rajajinagar,Open,
83.0,BESCOM worker asked bribe for new connection. Official process is stuck for 2 months.,Electricity,HIGH,3.0,Jayanagar,Escalated,
84.0,Loose electric wire sparking near the drain during rain. Flood and electrocution risk combined.,Electricity,HIGH,3.0,Malleshwaram,Escalated,
85.0,Electricity bill doubled this month with no explanation. Meter reading seems wrong.,Electricity,MEDIUM,2.0,Electronic City,Open,
86.0,New connection applied online 3 months ago. No response from BESCOM. Fee already paid.,Electricity,LOW,1.0,Yelahanka,Open,
87.0,Power cuts longer on weekends than weekdays. No pattern or notice for scheduled maintenance.,Electricity,MEDIUM,2.0,Basavanagudi,Open,
88.0,Electric pole leaning dangerously after last week's rain. May fall on road anytime.,Electricity,HIGH,3.0,Bellandur,Escalated,
89.0,Three street lights not working on the stretch near the hospital. Unsafe for night visitors.,Electricity,HIGH,3.0,Banashankari,Open,
90.0,Underground cable work disrupted power for 3 days. Temporary connection promised but not given.,Electricity,HIGH,3.0,Vijayanagar,Open,
91.0,BESCOM office staff not issuing duplicate bill copy. Need it for address proof urgently.,Electricity,LOW,1.0,Marathahalli,Open,
92.0,Power supply from two different phases causing unbalanced voltage in our building.,Electricity,MEDIUM,2.0,Shivajinagar,Open,
93.0,Electricity disconnected for non-payment but payment was already made 3 days ago.,Electricity,HIGH,3.0,Hennur,Open,
94.0,Lightning arrestor on the pole near our house damaged. Repair needed before monsoon.,Electricity,MEDIUM,2.0,Sadashivanagar,Open,
95.0,Frequent tripping in our area due to overloaded transformer. BESCOM aware but no action.,Electricity,HIGH,3.0,Nagarbhavi,Open,
96.0,Park near our society has been locked for 3 months. No notice or reason given by BBMP.,Parks,MEDIUM,2.0,Koramangala,Open,
97.0,Playground equipment in the children's park is broken. Rust and sharp edges are injuring kids.,Parks,HIGH,3.0,Indiranagar,Escalated,
98.0,Walking track in the park is broken with potholes and uneven tiles. Senior citizens are falling.,Parks,HIGH,3.0,HSR Layout,Open,
99.0,No lights in the park after 7pm. Antisocial activities happening in the dark area at night.,Parks,HIGH,3.0,BTM Layout,Open,
100.0,BBMP park used as dumping ground for construction waste by a nearby builder.,Parks,HIGH,3.0,Whitefield,Escalated,
101.0,Trees in our neighborhood park not pruned. Dead branches fell on a person last week.,Parks,HIGH,3.0,JP Nagar,Open,
102.0,Public toilets in the park have no water and are in extremely bad condition.,Parks,MEDIUM,2.0,Rajajinagar,Open,
103.0,Water sprinklers in the park always running during afternoon. Huge water waste.,Parks,LOW,1.0,Jayanagar,Open,
104.0,Park bench broken for 3 months. Elderly residents have nowhere to sit.,Parks,LOW,1.0,Malleshwaram,Open,
105.0,Dogs attacking joggers inside the park daily. No action being taken by BBMP.,Parks,HIGH,3.0,Electronic City,Escalated,
106.0,Drinking water fountain in the park not working for the past 2 months.,Parks,MEDIUM,2.0,Basavanagudi,Open,
107.0,Park caretaker not present. Unauthorized vehicles parking inside the park area.,Parks,MEDIUM,2.0,Yelahanka,Open,
108.0,Encroachment on park boundary by adjacent commercial establishment. 20 feet taken over.,Parks,HIGH,3.0,Bellandur,Escalated,
109.0,"Park used for large commercial events without proper permission, damaging the lawn.",Parks,MEDIUM,2.0,Banashankari,Open,
110.0,BBMP failed to plant trees in the designated green belt area in our ward for 2 years.,Parks,LOW,1.0,Vijayanagar,Open,
111.0,Loud music from the bar nearby continues past midnight every day. Police complaint filed but no action.,Noise,HIGH,3.0,Koramangala,Escalated,
112.0,Construction work starting at 5am daily. Violates noise pollution norms. Children can't sleep.,Noise,HIGH,3.0,Indiranagar,Open,
113.0,Event in the nearby ground using extremely loud speakers past 10pm. Has been going on for 3 days.,Noise,HIGH,3.0,HSR Layout,Open,
114.0,Generator noise from the hospital running all night. Unbearable for neighboring residents.,Noise,HIGH,3.0,BTM Layout,Open,
115.0,Auto repair shop on residential lane using loud machinery during school hours.,Noise,MEDIUM,2.0,Whitefield,Open,
116.0,Crackers being burst inside the residential area at 11pm. Disturbing animals and elderly people.,Noise,HIGH,3.0,JP Nagar,Open,
117.0,Drilling work for borewell in our lane going on since 6am. No approval visible.,Noise,MEDIUM,2.0,Rajajinagar,Open,
118.0,Religious loudspeaker on the terrace exceeds permitted decibel levels every morning at 4:30am.,Noise,HIGH,3.0,Jayanagar,Escalated,
119.0,Industrial unit in residential area operating heavy machinery all night. Clear zoning violation.,Noise,HIGH,3.0,Malleshwaram,Escalated,
120.0,Hawkers with electric loudspeakers passing through the colony multiple times daily.,Noise,LOW,1.0,Electronic City,Open,
121.0,Marriage hall adjacent to apartments playing loud music without following noise rules.,Noise,HIGH,3.0,Basavanagudi,Open,
122.0,Traffic noise from the newly opened flyway ramp is entering homes. No sound barrier installed.,Noise,MEDIUM,2.0,Yelahanka,Open,
123.0,Stray dogs barking throughout the night in our street. No animal control visit despite complaints.,Noise,MEDIUM,2.0,Bellandur,Open,
124.0,Pub opposite our apartment plays loud bass music causing walls to vibrate. Sleep impossible.,Noise,HIGH,3.0,Banashankari,Escalated,
125.0,Power generator used by nearby wedding venue running from 8pm to 2am continuously.,Noise,HIGH,3.0,Vijayanagar,Open,
126.0,Garbage not collected for 5 days. Overflowing bins and unbearable smell on our street.,Sanitation,HIGH,3.0,Koramangala,Duplicate,1.0
127.0,No water supply for 3 days. Elderly residents affected badly.,Water Supply,HIGH,3.0,Jayanagar,Duplicate,26.0
128.0,Big pothole near school entrance. Two wheelers falling daily.,Roads,HIGH,3.0,Koramangala,Duplicate,51.0
129.0,Power outage for more than 12 hours. BESCOM not picking up calls.,Electricity,HIGH,3.0,Koramangala,Duplicate,76.0
130.0,Park locked without any notice. Cannot enter for 3 months.,Parks,MEDIUM,2.0,Koramangala,Duplicate,96.0
131.0,Bar playing loud music after midnight. No one is taking action despite complaints.,Noise,HIGH,3.0,Koramangala,Duplicate,111.0
,"Street light outside my house on 4th cross has been off for three weeks, dark at night.",electricity,,,,,
,Frequent power cuts in our area every evening between 7pm and 10pm without notice.,electricity,,,,,
,Transformer near outer ring road junction is sparking violently when it rains.,electricity,,,,,
,Low voltage issue in our layout. Electrical appliances like fridge and AC are not working properly.,electricity,,,,,
,High voltage surge burnt out our television set and washing machine today.,electricity,,,,,
,"Street lights are staying ON during the entire daytime on 100 Feet Road, wasting electricity.",electricity,,,,,
,Electric pole near the bus stop is leaning dangerously towards the main road after storm.,electricity,,,,,
,"Hanging overhead electric wire loose near the school gate, high risk of electrocution.",electricity,,,,,
,BESCOM power supply has been down continuously for over 12 hours in Ward 150.,electricity,,,,,
,Electricity meter box opened and sparking near apartment entrance.,electricity,,,,,
,Frequent phase failure in our street resulting in single phase power supply.,electricity,,,,,
,"Street lights flickering rapidly on main road, causing vision issues for drivers.",electricity,,,,,
,BESCOM transformer oil leakage on footpath near 5th block market.,electricity,,,,,
,Power outage since last night due to tree branch falling on main power line.,electricity,,,,,
,"Underground power cable damaged during road digging, whole colony is without power.",electricity,,,,,
,Street lights not working for past 10 days near government high school lane.,electricity,,,,,
,Electric wire snapped and fell into a puddle of water near market area.,electricity,,,,,
,Smart electricity meter showing inflated readings and wrong billing.,electricity,,,,,
,"No street lights on dark stretch near flyover ramp, unsafe for women walking home.",electricity,,,,,
,BESCOM feeder line trip happening every 30 minutes in our layout.,electricity,,,,,
,"Street light pole base rusted and completely broken, about to fall on parked cars.",electricity,,,,,
,Electricity supply disconnected wrongfully even though monthly bill was paid on time.,electricity,,,,,
,Substation breaker issue causing repeated blackout across entire ward.,electricity,,,,,
,Low hanging high tension cable over residential building terrace.,electricity,,,,,
,"Streetlight switch box kept open on footpath, live wires exposed to pedestrians.",electricity,,,,,
,Transformer overloading causing daily power trips during peak summer hours.,electricity,,,,,
,BESCOM helpline number unreachable during continuous 8 hour power cut.,electricity,,,,,
,Street light bulb shattered and dangling precariously from the lamp pole.,electricity,,,,,
,Unannounced load shedding for 6 hours daily in industrial layout.,electricity,,,,,
,Electric meter board caught fire due to short circuit near main gate.,electricity,,,,,
,Huge pothole in the middle of the road near railway station causing heavy traffic backlog.,roads,,,,,
,Road dug up by BWSSB for pipe laying 3 months ago still not asphalted.,roads,,,,,
,"Deep crater on main road filled with rainwater, two wheelers skidding and falling.",roads,,,,,
,"Footpath tiles completely broken and missing near bus stand, elderly people falling.",roads,,,,,
,Speed breaker built without BBMP approval is extremely high and damaging cars.,roads,,,,,
,"Road cave-in near storm water drain crossing, vehicles getting stuck.",roads,,,,,
,Newly asphalted road washed away after single rain due to poor bitumen quality.,roads,,,,,
,Manhole cover broken on main road creating open hazard for night traffic.,roads,,,,,
,Footpath encroached by street vendors leaving no space for pedestrians to walk.,roads,,,,,
,"Tar and gravel dumped on side of road left unspread for weeks, causing skidding.",roads,,,,,
,Laying of optical fiber cable left road destroyed with loose dirt and trenches.,roads,,,,,
,"Sharp road curve lacks speed humps and reflectors, resulting in frequent accidents.",roads,,,,,
,Road divider broken by truck and concrete blocks blocking left lane.,roads,,,,,
,Missing storm water drain slab on footpath creating 5 feet deep pit.,roads,,,,,
,Unmarked speed breaker on dark road section causing severe back injuries to riders.,roads,,,,,
,"Road widening work stalled halfway, left half of road uneven and dusty.",roads,,,,,
,Heavy construction trucks damaged layout road surface creating deep ruts.,roads,,,,,
,Pedestrian zebra crossing paint completely worn off on busy junction.,roads,,,,,
,Muddy and unpaved road in layout makes commuting impossible during monsoon.,roads,,,,,
,Asphalt peeling off on main flyover surface leading to bumpy ride and accidents.,roads,,,,,
,"Footpath height is too high from road, senior citizens unable to step up.",roads,,,,,
,Sunken manhole frame 6 inches below road level causing violent car thuds.,roads,,,,,
,Illegal barricades placed on public road blocking free movement of vehicles.,roads,,,,,
,Road asphalt layer melted and rutted due to heavy vehicle traffic.,roads,,,,,
,Bridge approach road has developed huge crack and gap near abutment.,roads,,,,,
,Trench dug across colony entrance left open without warning signboards.,roads,,,,,
,Footpath completely blocked by parked two-wheelers and commercial signboards.,roads,,,,,
,"Potholes filled with mud by locals as temporary fix, turning into mud pit after rain.",roads,,,,,
,Concrete road panel cracked into pieces with sharp edges exposed.,roads,,,,,
,"Road resurfacing done without milling, raising road height above house gate levels.",roads,,,,,
,"Garbage not picked up by BBMP auto for past 4 days, foul smell spreading.",sanitation,,,,,
,Blackspot created near park corner with heaps of plastic and domestic waste.,sanitation,,,,,
,Sewage line overflowing on main road releasing stinking waste water everywhere.,sanitation,,,,,
,Pourakarmikas skipping door to door collection in interior cross roads.,sanitation,,,,,
,Carcass of dead stray dog rotting on roadside near school entrance.,sanitation,,,,,
,Commercial waste dumped illegally by hotel behind residential apartments.,sanitation,,,,,
,Public garbage bin overflowing and waste scattered all over footpath by stray cows.,sanitation,,,,,
,Open garbage burning in vacant plot releasing toxic black smoke into homes.,sanitation,,,,,
,Wet waste and dry waste mixed up during collection by sanitation staff.,sanitation,,,,,
,"Underground drainage pipe blocked, sewage backing up into house toilets.",sanitation,,,,,
,Dump yard smell wafting into residential colony from nearby garbage transfer station.,sanitation,,,,,
,"Street sweeping not done for two weeks, leaves and dust accumulating in gutters.",sanitation,,,,,
,Bio-medical waste discarded openly near neighborhood clinic gate.,sanitation,,,,,
,"Public toilet near bus terminal is filthy, clogged and emitting unbearable stench.",sanitation,,,,,
,Debris and muck cleared from drain left on roadside without being carted away.,sanitation,,,,,
,Fish and meat shop dumping slaughter waste into open storm water drain.,sanitation,,,,,
,Garbage collection vehicle driver demanding money from residents to collect dry waste.,sanitation,,,,,
,Vacant plot turned into illegal garbage dumping ground by local vendors.,sanitation,,,,,
,Drainage ditch overflowing with plastic bottles and domestic refuse.,sanitation,,,,,
,Pourakarmikas dumping collected street sweepings into empty rainwater drain.,sanitation,,,,,
,Stagnant sewage water in front of houses breeding mosquitoes and diseases.,sanitation,,,,,
,Garbage truck spilling liquid waste (leachate) all along the road while driving.,sanitation,,,,,
,Sanitation workers not arriving according to scheduled morning timing.,sanitation,,,,,
,Construction waste and concrete rubble dumped illegally on footpath overnight.,sanitation,,,,,
,Broken sewage chamber cover releasing raw sewage onto public walkway.,sanitation,,,,,
,"Community dustbins missing from designated spots, causing public littering.",sanitation,,,,,
,Pourakarmika sweeping staff lack basic protective gear like gloves and boots.,sanitation,,,,,
,Unattended pile of garden waste and tree cuttings decaying on main road.,sanitation,,,,,
,Drain overflowing with filthy black sludge after small drizzle.,sanitation,,,,,
,Plastic waste accumulated in lake inlet channel causing foul odor and pollution.,sanitation,,,,,
,No BWSSB tap water supply for past 4 days in our residential block.,water,,,,,
,"Drinking water pipeline burst near main junction, thousands of liters wasting.",water,,,,,
,"Contaminated muddy tap water coming from BWSSB supply line, unfit for drinking.",water,,,,,
,"Water pressure extremely low, water not reaching overhead tanks on first floor.",water,,,,,
,Sewage water getting mixed with drinking water pipe line near old market.,water,,,,,
,BWSSB water tanker requested 3 days ago but not delivered yet.,water,,,,,
,"Underground main water pipe leaking heavily under footpath, soaking road foundation.",water,,,,,
,"Water supply timing changed to 2 AM in midnight, highly inconvenient for residents.",water,,,,,
,"No piped water connection in our newly developed layout, relying on costly tankers.",water,,,,,
,"Water valve left open on main line, flooding the street and wasting water.",water,,,,,
,"BWSSB water meter defectively running fast, generating exorbitantly high bill.",water,,,,,
,Water tap at public standpost broken and leaking continuously for a week.,water,,,,,
,Saline brackish water supplied through BWSSB pipeline instead of Cauvery water.,water,,,,,
,Water supply stopped abruptly without any prior intimation from water board.,water,,,,,
,Illegal water connection taken from main pipeline by nearby commercial complex.,water,,,,,
,Air lock in water pipe causing zero water flow to end of the street.,water,,,,,
,BWSSB supply duration reduced from 2 hours to just 20 minutes daily.,water,,,,,
,Water tanker driver charging extra money over prescribed BBMP rates.,water,,,,,
,Borewell dried up in our layout and no Cauvery water line connection available.,water,,,,,
,Water leaking from joint near water meter box on footpath.,water,,,,,
,Rusty brown water coming out of kitchen taps every morning.,water,,,,,
,New water connection application pending for over 6 months without progress.,water,,,,,
,BWSSB pump house breakdown leading to complete water outage in entire zone.,water,,,,,
,Drainage water entering underground sump through cracked water pipe.,water,,,,,
,"Water supply schedule erratic, coming on alternate days for only one hour.",water,,,,,
,Public drinking water kiosk shut down due to broken filter and pipe leak.,water,,,,,
,"High chlorine smell in drinking water supplied yesterday, causing throat irritation.",water,,,,,
,Overhead water storage tank overflowing continuously due to broken float valve.,water,,,,,
,"Water line blocked with silt and mud, no water reaching tail-end households.",water,,,,,
,BWSSB official demanding bribe to approve water connection line.,water,,,,,
